;regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;interior/metropolitana;Acumulados_100mil;ObitosAcumulados_100mil
2244;Sudeste;MG;Abadia dos Dourados;31;310010.0;31074.0;PATROCINIO / MONTE CARMELO;2021-02-25;8;6989.0;248;23;3;0;0.0;0.00248;3e-05
2245;Sudeste;MG;Abaeté;31;310020.0;31024.0;SETE LAGOAS;2021-02-25;8;23237.0;479;3;8;0;0.0;0.00479;8e-05
2246;Sudeste;MG;Abre Campo;31;310030.0;31059.0;MANHUACU;2021-02-25;8;13454.0;371;6;5;1;0.0;0.00371;5e-05
2247;Sudeste;MG;Acaiaca;31;310040.0;31060.0;PONTE NOVA;2021-02-25;8;3994.0;113;0;4;0;0.0;0.00113;4e-05
2248;Sudeste;MG;Açucena;31;310050.0;31037.0;IPATINGA;2021-02-25;8;9470.0;237;3;10;1;0.0;0.00237;0.0001
2249;Sudeste;MG;Água Boa;31;310060.0;31081.0;SANTA MARIA DO SUACUI;2021-02-25;8;13735.0;216;0;6;0;0.0;0.00216;6e-05
2250;Sudeste;MG;Água Comprida;31;310070.0;31072.0;UBERABA;2021-02-25;8;1999.0;42;1;0;0;0.0;0.00042;0.0
2251;Sudeste;MG;Aguanil;31;310080.0;31089.0;CAMPO BELO;2021-02-25;8;4486.0;252;2;7;0;0.0;0.00252;7e-05
2252;Sudeste;MG;Águas Formosas;31;310090.0;31062.0;AGUAS FORMOSAS;2021-02-25;8;19207.0;559;0;15;0;0.0;0.00559;0.00015
2253;Sudeste;MG;Águas Vermelhas;31;310100.0;31068.0;PEDRA AZUL;2021-02-25;8;13539.0;247;0;3;0;0.0;0.00247;3e-05
2254;Sudeste;MG;Aimorés;31;310110.0;31040.0;RESPLENDOR;2021-02-25;8;25167.0;1125;3;30;1;0.0;0.01125;0.0003
2255;Sudeste;MG;Aiuruoca;31;310120.0;31008.0;SAO LOURENCO;2021-02-25;8;6003.0;74;0;5;0;0.0;0.00074;5e-05
2256;Sudeste;MG;Alagoa;31;310130.0;31008.0;SAO LOURENCO;2021-02-25;8;2674.0;159;0;0;0;0.0;0.00159;0.0
2257;Sudeste;MG;Albertina;31;310140.0;31006.0;POCOS DE CALDAS;2021-02-25;8;3007.0;119;5;5;0;0.0;0.00119;5e-05
2258;Sudeste;MG;Além Paraíba;31;310150.0;31041.0;ALEM  PARAIBA;2021-02-25;8;35362.0;1647;0;57;0;0.0;0.01647;0.00057
2259;Sudeste;MG;Alfenas;31;310160.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;79996.0;3982;18;94;0;0.0;0.03982;0.00094
2260;Sudeste;MG;Alfredo Vasconcelos;31;310163.0;31013.0;BARBACENA;2021-02-25;8;6907.0;142;0;5;0;0.0;0.00142;5e-05
2261;Sudeste;MG;Almenara;31;310170.0;31094.0;ALMENARA/JACINTO;2021-02-25;8;41896.0;2225;0;25;0;0.0;0.02225;0.00025
2262;Sudeste;MG;Alpercata;31;310180.0;31036.0;GOVERNADOR VALADARES;2021-02-25;8;7424.0;333;0;12;0;0.0;0.00333;0.00012
2263;Sudeste;MG;Alpinópolis;31;310190.0;31092.0;PASSOS;2021-02-25;8;19853.0;432;0;6;0;0.0;0.00432;6e-05
2264;Sudeste;MG;Alterosa;31;310200.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;14466.0;462;2;23;1;0.0;0.00462;0.00023
2265;Sudeste;MG;Alto Caparaó;31;310205.0;31059.0;MANHUACU;2021-02-25;8;5847.0;257;0;7;0;0.0;0.00257;7e-05
2266;Sudeste;MG;Alto Rio Doce;31;310210.0;31013.0;BARBACENA;2021-02-25;8;11000.0;194;0;15;0;0.0;0.00194;0.00015
2267;Sudeste;MG;Alvarenga;31;310220.0;31040.0;RESPLENDOR;2021-02-25;8;3907.0;325;-4;3;0;0.0;0.00325;3e-05
2268;Sudeste;MG;Alvinópolis;31;310230.0;31060.0;PONTE NOVA;2021-02-25;8;15203.0;290;0;3;0;0.0;0.0029;3e-05
2269;Sudeste;MG;Alvorada de Minas;31;310240.0;31095.0;SERRO;2021-02-25;8;3606.0;141;3;1;0;0.0;0.00141;1e-05
2270;Sudeste;MG;Amparo do Serra;31;310250.0;31060.0;PONTE NOVA;2021-02-25;8;4713.0;78;0;3;0;0.0;0.00078;3e-05
2271;Sudeste;MG;Andradas;31;310260.0;31006.0;POCOS DE CALDAS;2021-02-25;8;41077.0;1409;62;32;0;0.0;0.01409;0.00032
2272;Sudeste;MG;Cachoeira de Pajeú;31;310270.0;31068.0;PEDRA AZUL;2021-02-25;8;9412.0;293;0;5;0;0.0;0.00293;5e-05
2273;Sudeste;MG;Andrelândia;31;310280.0;31090.0;LIMA DUARTE;2021-02-25;8;12224.0;188;1;3;0;0.0;0.00188;3e-05
